index,conf_id,smiles,area,volume,P_bv,S_cat_bv,S_S_bv,S_cat_darea,S_cat_pint,S_S_darea,S_S_pint,S_cat_P,S_S_P,S_cat_Pangle,S_S_Pangle,S_cat_sarea,S_cat_svol,S_S_sarea,S_S_svol,S_toS_Lvalue,S_toS_B1value,S_toS_B5value,S_toC_Lvalue,S_toC_B1value,S_toC_B5value,P_charge,S_cat_charge,S_S_charge
5155,0,COc1cccc(C)c1C(=O)SS[S+]=P1(N(C)C(C)(C)C)N(C)c2ccc3ccccc3c2-c2c(ccc3ccccc23)N1C,673.761747,782.149557,0.929043981,0.733973164,0.929043981,10.40885372,36.03050141,1.199833045,54.07300162,0.188202996,0.779906319,2.306643174,5.743699474,6.179982475,9.590139229,0,0,8.728442881,3.598725261,10.29194239,6.020399907,4.254034147,8.765028636,0.28343414,-0.06730007,-0.00112021
5155,1,COc1cccc(C)c1C(=O)SS[S+]=P1(N(C)C(C)(C)C)N(C)c2ccc3ccccc3c2-c2c(ccc3ccccc23)N1C,677.3611166,784.5333207,0.928863446,0.734124581,0.928863446,10.60902399,36.46392288,1.399805219,54.70756307,0.193612039,0.780016153,2.370664949,5.744662556,6.059982815,9.400896148,0,0,8.732321065,3.620509316,10.28428288,6.020856,4.261036344,8.764159575,0.28342076,-0.06720596,-0.00109456
5155,2,COc1cccc(C)c1C(=O)SS[S+]=P1(N(C)C(C)(C)C)N(C)c2ccc3ccccc3c2-c2c(ccc3ccccc23)N1C,695.7444384,783.0106066,0.926603848,0.678741148,0.926603848,13.31132255,32.5615101,0.899874784,53.81732351,0.54843238,0.794909588,6.378283824,5.896024975,8.509975867,14.32809389,0,0,8.891297228,3.392117236,10.24548722,6.034824902,4.142992603,10.13863621,0.26714667,-0.04666478,-0.00694558
5155,3,COc1cccc(C)c1C(=O)SS[S+]=P1(N(C)C(C)(C)C)N(C)c2ccc3ccccc3c2-c2c(ccc3ccccc23)N1C,694.2605348,781.6343066,0.940860278,0.630893589,0.940860278,16.6141319,33.24536934,0.299958261,55.19962008,0.572794026,0.792601332,6.569721717,5.846147693,9.969971727,16.14684305,0,0,8.729987464,4.251580122,11.14728005,5.936147816,4.055894576,8.725763386,0.27363847,-0.06872114,0.00083803
5155,4,COc1cccc(C)c1C(=O)SS[S+]=P1(N(C)C(C)(C)C)N(C)c2ccc3ccccc3c2-c2c(ccc3ccccc23)N1C,685.9433015,777.4726326,0.929061452,0.711266539,0.929061452,10.80919425,36.07296282,0.899874784,54.93593347,0.198744718,0.806432512,3.476249804,6.015877062,2.049994187,2.878893503,0,0,8.67853977,3.492601502,10.46345859,6.078438863,4.076537362,9.674450757,0.26829328,-0.03465339,-0.01771524
5154,0,CN1c2ccc3ccccc3c2-c2c(ccc3ccccc23)N(C)P1(=[S+]SSC(=O)c1cccc([N+](=O)[O-])c1)N(C)C(C)(C)C,625.0147978,747.0863033,0.931041511,0.647817275,0.789933144,13.91183334,30.80043236,2.797816612,34.48868801,0.015622347,0.051270937,0.372308693,0.344313165,13.68996118,25.74618275,2.620061217,4.709198349,8.405304128,1.8,11.02434399,7.648093336,2.298432039,9.508449178,0.28887817,-0.06807919,0.05475708
5154,1,CN1c2ccc3ccccc3c2-c2c(ccc3ccccc23)N(C)P1(=[S+]SSC(=O)c1cccc([N+](=O)[O-])c1)N(C)C(C)(C)C,633.2857489,747.0778369,0.944453504,0.77178648,0.593522876,9.30791727,35.70756416,5.895399289,30.9143345,0.043627017,0.005459415,0.451670018,0.036726195,6.099982702,9.779081499,4.650108649,6.264129693,8.827303242,3.215082429,10.48692562,3.103616602,3.333453375,11.59533073,0.30051609,-0.08813675,-0.00040274
5154,2,CN1c2ccc3ccccc3c2-c2c(ccc3ccccc23)N(C)P1(=[S+]SSC(=O)c1cccc([N+](=O)[O-])c1)N(C)C(C)(C)C,669.9926874,751.6787945,0.924571375,0.682427553,0.622303625,13.41140768,32.61988331,6.594853442,32.5578017,0.493183318,0.031179449,6.144628786,0.209211758,7.379979072,11.7474556,6.480151408,7.669366858,8.887373491,3.752660725,10.38859233,6.248466863,3.695673859,12.81724342,0.27340913,-0.05657109,0.0357721
5154,3,CN1c2ccc3ccccc3c2-c2c(ccc3ccccc23)N(C)P1(=[S+]SSC(=O)c1cccc([N+](=O)[O-])c1)N(C)C(C)(C)C,677.2890643,755.947792,0.924315132,0.678438315,0.62081858,13.51149281,32.60228114,6.195165354,32.17175518,0.510353214,0.027683946,6.267747778,0.185767558,7.829977796,12.73712265,6.530152576,7.672268641,8.886073356,3.731535135,10.37622205,6.230230123,3.766765382,12.74806133,0.27367088,-0.05738224,0.03523573
5154,4,CN1c2ccc3ccccc3c2-c2c(ccc3ccccc23)N(C)P1(=[S+]SSC(=O)c1cccc([N+](=O)[O-])c1)N(C)C(C)(C)C,665.6938333,753.550922,0.940842807,0.644037691,0.633729734,15.41311032,30.45819584,6.594853442,33.2490631,0.176864992,0.028865339,3.703836241,0.193818226,12.06996577,22.46921792,4.57010678,7.852114671,8.665690747,2.502828364,11.12813028,6.627140652,2.040397265,12.61330653,0.27471848,-0.04044461,0.04143032
5142,0,Cc1cc(C)cc(C(=O)SS[S+]=P2(N(C)C(C)(C)C)N(C)c3ccc4ccccc4c3-c3c(ccc4ccccc34)N2C)c1,696.5482016,775.2467577,0.925811824,0.686317788,0.925811824,13.31132255,32.66155673,1.299819132,53.36942877,0.427516182,0.782524412,5.663667327,5.773861148,7.229979497,11.59070494,0,0,8.880371503,3.818648596,10.24632945,6.017885669,4.175047591,11.35959736,0.2681091,-0.06032402,0.02496569
5142,1,Cc1cc(C)cc(C(=O)SS[S+]=P2(N(C)C(C)(C)C)N(C)c3ccc4ccccc4c3-c3c(ccc4ccccc34)N2C)c1,694.7496859,778.7073339,0.939893543,0.633846208,0.939893543,16.01362111,30.28081603,0.399944348,65.27412717,0.212275254,0.799043316,4.145538958,5.909839127,13.11996279,23.19956318,0,0,8.678098196,2.711335791,11.10785549,5.934436153,3.739522527,8.72146883,0.27088443,-0.04885071,0.02379415
5142,2,Cc1cc(C)cc(C(=O)SS[S+]=P2(N(C)C(C)(C)C)N(C)c3ccc4ccccc4c3-c3c(ccc4ccccc34)N2C)c1,667.5684799,774.410207,0.930534849,0.691151463,0.930534849,13.01106715,32.12283347,0.499930435,56.58768479,0.224196711,0.783883155,3.771270643,5.775924627,9.649972635,17.06205808,0,0,7.722701662,2.552074643,10.95537133,6.00849308,4.053026207,8.786388518,0.26787444,-0.05587539,0.04394361
5142,3,Cc1cc(C)cc(C(=O)SS[S+]=P2(N(C)C(C)(C)C)N(C)c3ccc4ccccc4c3-c3c(ccc4ccccc34)N2C)c1,696.3482396,778.9297442,0.926038949,0.688297848,0.926038949,13.11115228,32.88562619,1.199833045,53.85850831,0.415099706,0.783408755,5.560738161,5.782554738,7.099979866,11.36660602,0,0,8.874850586,3.820858225,10.24412238,6.02138479,4.167605607,11.3556332,0.26844134,-0.05921864,0.02518857
5142,4,Cc1cc(C)cc(C(=O)SS[S+]=P2(N(C)C(C)(C)C)N(C)c3ccc4ccccc4c3-c3c(ccc4ccccc34)N2C)c1,693.3517238,775.6547535,0.939707184,0.644200755,0.939707184,15.41311032,30.81321444,0.299958261,64.12309334,0.285078152,0.798233077,4.575010211,5.90154021,11.44996753,20.05654807,0,0,8.755968763,2.672512393,11.10301677,5.932560688,3.741304418,8.826518364,0.27141216,-0.04698467,0.02472351
