index,conf_id,smiles,area,volume,S_bv,S_darea,S_pint,S_P,S_Pangle,S_sarea,S_svol,S_toC1_Lvalue,S_toC1_B1value,S_toC1_B5value,S_toC2_Lvalue,S_toC2_B1value,S_toC2_B5value,S_charge
5169,3,O=C(SSC1=C(c2c(O)ccc3ccccc23)c2ccccc2CC1)c1ccc(F)cc1,480.0477462,505.9636959,0.675532287,5.595633223,32.80956291,0.014801382,0.099317168,3.370078741,3.96741593,9.124383717,3.238992656,9.768364088,7.395037488,3.027879788,7.096124435,0.08316711
5169,4,O=C(SSC1=C(c2c(O)ccc3ccccc23)c2ccccc2CC1)c1ccc(F)cc1,480.3505893,507.8411805,0.679975773,6.095243333,33.85639315,0.017033067,0.114311836,3.75008762,3.84638941,9.257761573,2.845982746,9.771177977,7.399059699,3.243858502,7.442092939,0.06826659
5015,0,O=C(SSC1=C(c2c(O)ccc3ccccc23)c2ccccc2CC1)c1ccccc1,478.2546101,502.9506862,0.675456578,5.995321311,32.95038205,0.012709999,0.085379551,3.320077573,3.905869171,9.121499321,3.243004338,9.163895297,6.792241137,3.053299314,7.055387624,0.08149536
5015,1,O=C(SSC1=C(c2c(O)ccc3ccccc23)c2ccccc2CC1)c1ccccc1,479.352679,504.5965114,0.675875885,5.995321311,33.16294621,0.014016302,0.094151452,3.34007804,3.935403549,9.123917676,3.241698281,9.170510394,6.792303381,3.036766357,7.095577971,0.08158969
5015,2,O=C(SSC1=C(c2c(O)ccc3ccccc23)c2ccccc2CC1)c1ccccc1,479.3549978,503.6157537,0.675573053,5.695555245,32.84537897,0.013798368,0.092687484,3.310077339,3.896772761,9.123648219,3.242225877,9.169475041,6.792293723,3.038224606,7.089795129,0.0815501
5015,3,O=C(SSC1=C(c2c(O)ccc3ccccc23)c2ccccc2CC1)c1ccccc1,478.8538748,505.6828926,0.675479873,5.695555245,32.68771612,0.013848939,0.093027263,3.350078274,3.927829728,9.123745706,3.24200774,9.169780716,6.792305746,3.037592916,7.09124307,0.08157898
5015,4,O=C(SSC1=C(c2c(O)ccc3ccccc23)c2ccccc2CC1)c1ccccc1,477.5558149,502.3054265,0.67553811,5.895399289,32.62446298,0.013726484,0.092204769,3.310077339,3.860643709,9.123244126,3.241832412,9.168625331,6.79228779,3.039462474,7.083005749,0.08153831
5191,0,COc1ccc(C(=O)SSC2=C(c3c(O)ccc4ccccc34)c3ccccc3CC2)cc1,511.2680349,537.0495128,0.676044773,5.795477267,32.94230782,0.007772468,0.052293046,3.210075003,3.756399897,9.12051741,3.25046132,11.33432562,8.852824004,3.074003281,7.009566138,0.08170508
5191,1,COc1ccc(C(=O)SSC2=C(c3c(O)ccc4ccccc34)c3ccccc3CC2)cc1,512.1668621,534.9592476,0.676108833,5.895399289,33.1159491,0.006572972,0.044224144,3.320077573,3.796698457,9.118814195,3.251263147,11.32577412,8.852475699,3.091659167,6.973311045,0.08162845
5191,2,COc1ccc(C(=O)SSC2=C(c3c(O)ccc4ccccc34)c3ccccc3CC2)cc1,509.1688185,532.3692855,0.676114657,5.795477267,33.05230685,0.00874041,0.058803983,3.220075237,3.699413516,9.122022526,3.250259448,11.34098578,8.853099725,3.059546137,7.039748806,0.08176824
5191,3,COc1ccc(C(=O)SSC2=C(c3c(O)ccc4ccccc34)c3ccccc3CC2)cc1,513.0661807,537.8363677,0.676248602,5.795477267,32.69318523,0.007344223,0.04941301,3.270076405,3.733894394,9.119332705,3.250929929,11.33077739,8.852765455,3.083686503,6.99265859,0.08167244
5191,4,COc1ccc(C(=O)SSC2=C(c3c(O)ccc4ccccc34)c3ccccc3CC2)cc1,512.4663496,539.2139031,0.676242779,5.895399289,33.1225531,0.010068035,0.067721573,3.210075003,3.676440468,9.121073207,3.249452059,11.09294546,8.916887233,3.071494179,7.01858945,0.08068191
5176,0,O=C(SSC1=C(c2c(O)ccc3ccccc23)c2ccccc2CC1)c1ccc2ccccc2c1,528.6358564,558.7825042,0.676219484,5.795477267,33.51452572,0.011379829,0.076483356,3.270076405,3.76501056,9.123011234,3.244721353,11.05529254,8.956008704,3.267942014,7.053846639,0.07731979
5176,1,O=C(SSC1=C(c2c(O)ccc3ccccc23)c2ccccc2CC1)c1ccc2ccccc2c1,525.9366755,557.6597855,0.676440785,5.695555245,33.23180614,0.012508922,0.084069801,3.210075003,3.772516284,9.125476565,3.244268704,11.07317477,8.956171163,3.242452938,7.101044852,0.07744272
5176,2,O=C(SSC1=C(c2c(O)ccc3ccccc23)c2ccccc2CC1)c1ccc2ccccc2c1,527.4361697,559.7057541,0.676586377,6.095243333,33.63150051,0.012226472,0.082171911,3.23007547,3.740622481,9.125111648,3.243793043,11.069713,8.956156486,3.248225217,7.092465482,0.07742176
5176,3,O=C(SSC1=C(c2c(O)ccc3ccccc23)c2ccccc2CC1)c1ccc2ccccc2c1,527.6359682,555.2743436,0.676318487,5.495711202,33.1014569,0.007134962,0.047968822,3.260076171,3.713160778,9.124075916,3.246519082,11.46324629,8.85090773,3.048418906,7.058776805,0.07728252
