index,smiles
65,CCN(CC)P1(=[S+]Sc2c(C(C)C)cccc2C(C)C)N(C)c2ccc3ccccc3c2-c2c(ccc3ccccc23)N1C
66,CC(C)c1cccc(C(C)C)c1S[S+]=P1(N2CCCCCC2)N(C)c2ccc3ccccc3c2-c2c(ccc3ccccc23)N1C
67,CCC(C)N(C(C)CC)P1(=[S+]Sc2c(C(C)C)cccc2C(C)C)N(C)c2ccc3ccccc3c2-c2c(ccc3ccccc23)N1C
68,CC(C)CN(CC(C)C)P1(=[S+]Sc2c(C(C)C)cccc2C(C)C)N(C)c2ccc3ccccc3c2-c2c(ccc3ccccc23)N1C
69,CC(C)c1cccc(C(C)C)c1S[S+]=P1(N(Cc2ccccc2)Cc2ccccc2)N(C)c2ccc3ccccc3c2-c2c(ccc3ccccc23)N1C
70,CC(C)c1cccc(C(C)C)c1S[S+]=P1(N(C2CCCCC2)C2CCCCC2)N(C)c2ccc3ccccc3c2-c2c(ccc3ccccc23)N1C
71,CC(C)c1cccc(C(C)C)c1S[S+]=P1(N(C)C)N(c2ccccc2)c2ccc3ccccc3c2-c2c(ccc3ccccc23)N1c1ccccc1
72,CC(C)N(C(C)C)P1(=[Se+]Sc2ccccc2)N(C)c2ccc3ccccc3c2-c2c(ccc3ccccc23)N1C
73,CC(C)N(C(C)C)P1(=[S+]Sc2ccccc2)N(C)c2ccc3ccccc3c2-c2c(ccc3ccccc23)N1C
74,CCC(C)N(C(C)CC)P1(=[Se+]Sc2ccccc2)N(C)c2ccc3ccccc3c2-c2c(ccc3ccccc23)N1C
75,Cc1ccccc1S[S+]=P1(N(C(C)C)C(C)C)N(C)c2ccc3ccccc3c2-c2c(ccc3ccccc23)N1C
76,Cc1ccccc1S[Se+]=P1(N(C(C)C)C(C)C)N(C)c2ccc3ccccc3c2-c2c(ccc3ccccc23)N1C
77,Cc1ccccc1S[S+]=P1(N(C(C)C)C(C)C)N(C)c2cccc3c2C2(CC3)CCc3cccc(c32)N1C
78,COc1cc(C(C)C)c(S[S+]=P2(N(C(C)C)C(C)C)N(C)c3ccc4ccccc4c3-c3c(ccc4ccccc34)N2C)c(C(C)C)c1
79,COc1cc(C(C)C)c(S[Se+]=P2(N(C(C)C)C(C)C)N(C)c3ccc4ccccc4c3-c3c(ccc4ccccc34)N2C)c(C(C)C)c1
80,COc1cc(C(C)C)c(S[S+]=P2(N(C(C)C)C(C)C)N(C)c3ccc4c(c3-c3c(ccc5c3CCCC5)N2C)CCCC4)c(C(C)C)c1
81,CN1c2ccc3ccccc3c2-c2c(ccc3ccccc23)N(C)P1(=[Se+]Sc1ccccc1)N1CCCCCC1
82,CC(C)CN(CC(C)C)P1(=[Se+]Sc2ccccc2)N(C)c2ccc3ccccc3c2-c2c(ccc3ccccc23)N1C
83,CN1c2ccc3ccccc3c2-c2c(ccc3ccccc23)N(C)P1(=[S+]Sc1ccccc1)N1c2ccccc2C=Cc2ccccc21
84,CC(C)N([C@H]1CCCc2ccccc21)P1(=[S+]Sc2ccccc2)N(C)c2ccc3ccccc3c2-c2c(ccc3ccccc23)N1C
85,CN1c2ccc3ccccc3c2-c2c(ccc3ccccc23)N(C)P1(=[S+]Sc1ccccc1)N(C1CCCC1)C1CCCC1
86,CN1c2ccc3ccccc3c2-c2c(ccc3ccccc23)N(C)P1(=[S+]Sc1ccccc1)N(C(Cc1ccccc1)Cc1ccccc1)C(Cc1ccccc1)Cc1ccccc1
87,CN1c2ccc3ccccc3c2-c2c(ccc3ccccc23)N(C)P1(=[S+]Sc1ccccc1)N(c1ccccc1)c1ccccc1
88,CN1c2ccc3ccccc3c2-c2c(ccc3ccccc23)N(C)P1(=[S+]Sc1ccccc1)N(Cc1ccccc1)Cc1ccccc1
89,CN1c2ccc3ccccc3c2-c2c(ccc3ccccc23)N(C)P1(=[S+]Sc1ccccc1)N(C1CCCCC1)C1CCCCC1
90,CCN(CC)P1(=[S+]Sc2ccccc2)N(C)c2ccc3ccccc3c2-c2c(ccc3ccccc23)N1C
91,CN1c2ccc3ccccc3c2-c2c(ccc3ccccc23)N(C)P1(=[S+]Sc1ccccc1)N1C(C)(C)CCCC1(C)C
92,C[C@H](c1ccccc1)N([C@H](C)c1ccccc1)P1(=[S+]Sc2ccccc2)N(C)c2ccc3ccccc3c2-c2c(ccc3ccccc23)N1C
93,CC(C)N([C@@H](C)c1ccccc1)P1(=[S+]Sc2ccccc2)N(C)c2ccc3ccccc3c2-c2c(ccc3ccccc23)N1C
